,name,latitude,longitude,address
48,양천구보건소,37.5284349,126.8636189,"899-1 Sinjeong 4(sa)-dong, Yangcheon-gu, Seoul, South Korea"
49,서울특별시 서남병원,37.5264549,126.8955343,"123 Dangsan-ro, Dangsandong 3(sam)-ga, Yeongdeungpo-gu, Seoul, South Korea"
50,이화여자대학교의과대학부속목동병원,37.492737,126.908812,"1 Singil-ro, Daerim-dong, Yeongdeungpo-gu, Seoul, South Korea"
51,홍익병원,37.5178178,126.9355584,"10 63-ro, Yeoeuido-dong, Yeongdeungpo-gu, Seoul, South Korea"
52,영등포구보건소,37.5119571,126.9223932,"South Korea, Seoul, Yeongdeungpo-gu, Yeouidaebang-ro 53-gil, 22"
53,한림대학교강남성심병원,37.4939034,126.8992293,"156 Dorim-ro, Daerim-dong, Yeongdeungpo-gu, Seoul, South Korea"
54,가톨릭대학교 여의도성모병원,37.5323504,126.9903613,"150 Noksapyeong-daero, Itaewon 1(il)-dong, Yongsan-gu, Seoul, South Korea"
55,성애의료재단성애병원,37.5339355,127.0043336,"59 Daesagwan-ro, Hannam-dong, Yongsan-gu, Seoul, South Korea"
56,명지성모병원,37.60245219999999,126.9288474,"84 Nokbeon-dong, Eunpyeong-gu, Seoul, South Korea"
57,용산구보건소,37.6042789,126.9050867,"49 Galhyeon-ro 7-gil, Yeokchon-dong, Eunpyeong-gu, Seoul, South Korea"
58,순천향대학교 부속 서울병원,37.594201,126.9232968,"90 Baengnyeonsan-ro, Eungam-dong, Eunpyeong-gu, Seoul, South Korea"
59,은평구보건소,37.6338843,126.9165592,"1021 Tongil-ro, Jingwan-dong, Eunpyeong-gu, Seoul, South Korea"
60,서울특별시립 서북병원,37.6208074,126.919588,"873 Tongil-ro, Galhyeon-dong, Eunpyeong-gu, Seoul, South Korea"
61,서울특별시 은평병원,37.5817685,126.9692571,"36 Jahamun-ro 19-gil, Ogin-dong, Jongno-gu, Seoul, South Korea"
62,가톨릭대학교 은평성모병원,37.5683585,126.9674846,"29 Saemunan-ro, Gyonam-dong, Jongno-gu, Seoul, South Korea"
63,청구성심병원,37.5670139,126.9669384,"9 Saemunan-ro, Gyonam-dong, Jongno-gu, 서울특별시 South Korea"
64,종로구보건소,37.5880278,126.9826666,"Samcheong-ro 10-gil, Samcheong-dong, Jongno-gu, Seoul, South Korea"
65,강북삼성병원,37.5649096,126.9887525,"9 Mareunnae-ro, Euljiro-dong, Jung-gu, Seoul, South Korea"
66,서울적십자병원,37.5638401,127.0154705,"16 Dasan-ro 39-gil, Muhak-dong, Jung-gu, Seoul, South Korea"
67,서울지구병원,37.6064978,127.0927615,"179 Bonghwasan-ro, Sinnae 2(i)-dong, Jungnang-gu, Seoul, South Korea"
68,인제대학교서울백병원,37.6127725,127.0981666,"156 Sinnae-ro, Sinnae-dong, Jungnang-gu, Seoul, South Korea"
69,중구보건소,37.5496053,126.868277,"561 Gonghang-daero, Yeomchang-dong, Gangseo-gu, 서울특별시 South Korea"
70,중랑구보건소,35.0906026,128.8533057,"1627-2 Songjeong-dong, Gangseo-gu, Busan, South Korea"
71,서울의료원,35.2420475,129.0924716,"1777 Jungang-daero, Bugok 3(sam)-dong, Geumjeong-gu, Busan, South Korea"
72,강서구보건소,35.214399,129.1040842,"South Korea, Busan, Geumjeong-gu, Seo-dong, 서동로 162"
73,갑을녹산병원,35.3213697,129.2433137,"40 Jwadong-gil, Jangan-eup, Gijang-gun, Busan, South Korea"
74,금정구보건소,37.461015,126.677363,"25 Juanseo-ro, Dohwa 1(il)-dong, Incheon, South Korea"
75,세웅병원,35.1106981,129.1096188,"25-14 Yongho-ro 232beon-gil, Yongho 4(sa)-dong, Nam-gu, Busan, South Korea"
76,동남권원자력의원,35.1969082,129.0961081,"27 Annyeon-ro 109beon-gil, Allak 1(il)-dong, Dongnae-gu, Busan, South Korea"
77,기장군보건소,37.655909,126.776126,"South Korea, Gyeonggi-do, Goyang-si, Ilsandong-gu, Madu-dong, 1010"
78,남구 보건소,35.1407746,129.0590279,"119 Beomil-ro, Beomil 2(i)-dong, Dong-gu, Busan, South Korea"
79,부산성모병원,35.8763947,128.6439413,"640-1 Hyomok 2(i)-dong, Dong-gu, Daegu, South Korea"
80,봉생병원,35.2113842,129.0798625,"56 Myeongnyun-ro 187beon-gil, Myeongnyun-dong, Dongnae-gu, Busan, South Korea"
81,동구보건소,35.1461397,129.0208659,"75 Bokji-ro, Gaegeum-dong, Busanjin-gu, Busan, South Korea"
82,좋은문화병원,35.1463098,129.0599791,"36 Hwangnyeong-daero 8beon-gil, Beomcheon 1(il)-dong, Busanjin-gu, Busan, South Korea"
